ts,game_id,bookmaker,market_code,selection_name,price_decimal,line,raw_market,raw_selection
2025-08-23T10:31:07.452000+00:00,2025_ID37288,pointsbet,any player to get 40+ disposals,Yes,3.4,39.5,Any Player To Get 40+ Disposals,Yes
2025-08-23T10:31:07.452000+00:00,2025_ID37288,pointsbet,any player to get 40+ disposals,No,1.29,39.5,Any Player To Get 40+ Disposals,No
2025-08-23T10:31:07.452000+00:00,2025_ID37288,pointsbet,match result,Greater Western Sydney,1.17,0.0,Match Result,Greater Western Sydney
2025-08-23T10:31:07.452000+00:00,2025_ID37288,pointsbet,match result,St Kilda,5.25,0.0,Match Result,St Kilda
2025-08-23T10:31:07.452000+00:00,2025_ID37288,pointsbet,line,Greater Western Sydney -31.5,1.9,-31.5,Line,Greater Western Sydney -31.5
2025-08-23T10:31:07.452000+00:00,2025_ID37288,pointsbet,line,St Kilda +31.5,1.9,31.5,Line,St Kilda +31.5
2025-08-23T10:31:07.452000+00:00,2025_ID37288,pointsbet,total points over/under,Over 172.5,1.9,172.5,Total Points Over/Under,Over 172.5
2025-08-23T10:31:07.452000+00:00,2025_ID37288,pointsbet,total points over/under,Under 172.5,1.9,172.5,Total Points Over/Under,Under 172.5
2025-08-23T10:31:07.452000+00:00,2025_ID37288,pointsbet,both teams to kick 2+ goals every quarter,Yes,4.5,0.0,Both Teams To Kick 2+ Goals Every Quarter,Yes
2025-08-23T10:31:07.452000+00:00,2025_ID37288,pointsbet,1st half result,Greater Western Sydney,1.29,0.0,1st Half Result,Greater Western Sydney
2025-08-23T10:31:07.452000+00:00,2025_ID37288,pointsbet,1st half result,St Kilda,3.4,0.0,1st Half Result,St Kilda
2025-08-23T10:31:07.452000+00:00,2025_ID37288,pointsbet,highest scoring half,First,1.83,0.0,Highest Scoring Half,First
2025-08-23T10:31:07.452000+00:00,2025_ID37288,pointsbet,highest scoring half,Second,2.0,0.0,Highest Scoring Half,Second
2025-08-23T10:31:07.452000+00:00,2025_ID37288,pointsbet,highest scoring half,Draw,46.0,0.0,Highest Scoring Half,Draw
2025-08-23T10:31:07.452000+00:00,2025_ID37288,pointsbet,wire to wire,Greater Western Sydney Lead At Every Quarter,1.71,0.0,Wire To Wire,Greater Western Sydney Lead At Every Quarter
2025-08-23T10:31:07.452000+00:00,2025_ID37288,pointsbet,wire to wire,St Kilda Lead At Every Quarter,9.5,0.0,Wire To Wire,St Kilda Lead At Every Quarter
2025-08-23T10:31:07.452000+00:00,2025_ID37288,pointsbet,wire to wire,Any Other Result,2.45,0.0,Wire To Wire,Any Other Result
2025-08-23T10:31:07.452000+00:00,2025_ID37288,pointsbet,line/total doubles,Greater Western Sydney -31.5 & Over 172.5,3.3,0.0,Line/Total Doubles,Greater Western Sydney -31.5 & Over 172.5
2025-08-23T10:31:07.452000+00:00,2025_ID37288,pointsbet,line/total doubles,Greater Western Sydney -31.5 & Under 172.5,3.8,0.0,Line/Total Doubles,Greater Western Sydney -31.5 & Under 172.5
2025-08-23T10:31:07.452000+00:00,2025_ID37288,pointsbet,line/total doubles,St Kilda +31.5 & Over 172.5,3.8,0.0,Line/Total Doubles,St Kilda +31.5 & Over 172.5
2025-08-23T10:31:07.452000+00:00,2025_ID37288,pointsbet,line/total doubles,St Kilda +31.5 & Under 172.5,3.3,0.0,Line/Total Doubles,St Kilda +31.5 & Under 172.5
2025-08-23T10:31:07.452000+00:00,2025_ID37288,pointsbet,win/total doubles,Greater Western Sydney & Over 172.5,2.2,0.0,Win/Total Doubles,Greater Western Sydney & Over 172.5
