game_id,bookmaker,event_url,match_quality,found_at,notes,bookmaker_event_id,canonical_url,raw_url,discovered_at,mode
2025_ID37291,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/gold-coast-suns-v-essendon-9504866,38,browse,,,https://www.sportsbet.com.au/betting/australian-rules/afl/gold-coast-suns-v-essendon-9504866,https://www.sportsbet.com.au/betting/australian-rules/afl/gold-coast-suns-v-essendon-9504866,2025-08-23T04:45:12.365839+00:00,upcoming
2025_ID37291,pointsbet,,0,none,no url returned,,,,2025-08-23T04:45:18.606773+00:00,upcoming
2025_ID37295,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/north-melbourne-v-adelaide-crows-9504815,50,browse,,,https://www.sportsbet.com.au/betting/australian-rules/afl/north-melbourne-v-adelaide-crows-9504815,https://www.sportsbet.com.au/betting/australian-rules/afl/north-melbourne-v-adelaide-crows-9504815,2025-08-23T04:45:21.378145+00:00,upcoming
2025_ID37295,pointsbet,,0,none,no url returned,,,,2025-08-23T04:45:27.330629+00:00,upcoming
2025_ID37289,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/north-melbourne-v-adelaide-crows-9504815,100,browse,,,https://www.sportsbet.com.au/betting/australian-rules/afl/north-melbourne-v-adelaide-crows-9504815,https://www.sportsbet.com.au/betting/australian-rules/afl/north-melbourne-v-adelaide-crows-9504815,2025-08-23T04:45:30.048091+00:00,upcoming
2025_ID37289,pointsbet,,0,none,no url returned,,,,2025-08-23T04:45:35.251556+00:00,upcoming
2025_ID37292,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/richmond-v-geelong-cats-9504816,100,browse,,,https://www.sportsbet.com.au/betting/australian-rules/afl/richmond-v-geelong-cats-9504816,https://www.sportsbet.com.au/betting/australian-rules/afl/richmond-v-geelong-cats-9504816,2025-08-23T04:45:37.523918+00:00,upcoming
2025_ID37292,pointsbet,,0,none,no url returned,,,,2025-08-23T04:45:42.952197+00:00,upcoming
2025_ID37296,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/west-coast-eagles-v-sydney-swans-9504818,100,browse,,,https://www.sportsbet.com.au/betting/australian-rules/afl/west-coast-eagles-v-sydney-swans-9504818,https://www.sportsbet.com.au/betting/australian-rules/afl/west-coast-eagles-v-sydney-swans-9504818,2025-08-23T04:45:45.479262+00:00,upcoming
2025_ID37296,pointsbet,,0,none,no url returned,,,,2025-08-23T04:45:50.999274+00:00,upcoming
2025_ID37288,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/west-coast-eagles-v-sydney-swans-9504818,50,browse,,,https://www.sportsbet.com.au/betting/australian-rules/afl/west-coast-eagles-v-sydney-swans-9504818,https://www.sportsbet.com.au/betting/australian-rules/afl/west-coast-eagles-v-sydney-swans-9504818,2025-08-23T04:45:53.415221+00:00,upcoming
2025_ID37288,pointsbet,,0,none,no url returned,,,,2025-08-23T04:45:58.845539+00:00,upcoming
2025_ID37290,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/western-bulldogs-v-fremantle-9504846,100,browse,,,https://www.sportsbet.com.au/betting/australian-rules/afl/western-bulldogs-v-fremantle-9504846,https://www.sportsbet.com.au/betting/australian-rules/afl/western-bulldogs-v-fremantle-9504846,2025-08-23T04:46:01.283941+00:00,upcoming
2025_ID37290,pointsbet,,0,none,no url returned,,,,2025-08-23T04:46:06.558047+00:00,upcoming
