game_id,bookmaker,event_url,match_quality,found_at,notes
2025_ID37288,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/western-bulldogs-v-fremantle-9504846,46,browse,
2025_ID37288,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2391951,100,browse,29 candidates; sample='greater western sydney'
2025_ID37290,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/western-bulldogs-v-fremantle-9504846,100,browse,
2025_ID37290,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2391965,100,browse,29 candidates; sample='western bulldogs'
2025_ID37294,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/brisbane-lions-v-hawthorn-9504847,100,browse,
2025_ID37294,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2392201,100,browse,29 candidates; sample='brisbane lions'
2025_ID37092,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/gold-coast-suns-v-essendon-9504866,100,browse,
2025_ID37092,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2394416,100,browse,29 candidates; sample='gold coast'
2025_ID37315,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/gws-giants-v-st-kilda-9504819,66,browse,
2025_ID37315,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2391965,66,browse,29 candidates; sample='western bulldogs v fremantletoday  1 15pm'
2025_ID37316,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/gws-giants-v-st-kilda-9504819,66,browse,
2025_ID37316,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2391965,66,browse,29 candidates; sample='western bulldogs v fremantletoday  1 15pm'
2025_ID37317,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/gws-giants-v-st-kilda-9504819,66,browse,
2025_ID37317,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2391965,66,browse,29 candidates; sample='western bulldogs v fremantletoday  1 15pm'
2025_ID37318,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/gws-giants-v-st-kilda-9504819,66,browse,
2025_ID37318,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2391965,66,browse,29 candidates; sample='western bulldogs v fremantletoday  1 15pm'
