ts,game_id,venue_name,lat,lon,datetime_utc,temp_c,feelslike_c,humidity_pct,precip_mm,precip_prob_pct,windspeed_kph,windgust_kph,winddir_deg,pressure_hpa,cloudcover_pct,conditions,provider
2025-08-23T11:44:14.285355+00:00,2025_ID37092,Carrara,-28.0025,153.3669,2025-08-27T04:00:00+00:00,16.2,16.7,84,0.0,0,4.3,19.8,294,1011.3,0,0,open_meteo
2025-08-23T11:44:14.285355+00:00,2025_ID37092,Carrara,-28.0025,153.3669,2025-08-27T05:00:00+00:00,15.8,16.1,85,0.0,0,4.9,19.1,287,1011.1,0,0,open_meteo
2025-08-23T11:44:14.285355+00:00,2025_ID37092,Carrara,-28.0025,153.3669,2025-08-27T06:00:00+00:00,15.3,15.6,86,0.0,0,4.8,18.4,283,1010.8,0,0,open_meteo
2025-08-23T11:44:14.285355+00:00,2025_ID37092,Carrara,-28.0025,153.3669,2025-08-27T07:00:00+00:00,14.9,15.0,87,0.0,0,5.1,17.6,278,1010.5,0,0,open_meteo
2025-08-23T11:44:14.285355+00:00,2025_ID37092,Carrara,-28.0025,153.3669,2025-08-27T08:00:00+00:00,14.3,14.3,89,0.0,0,5.4,20.5,274,1010.2,0,0,open_meteo
2025-08-23T11:44:14.285355+00:00,2025_ID37092,Carrara,-28.0025,153.3669,2025-08-27T09:00:00+00:00,13.7,13.6,91,0.0,0,5.4,23.0,270,1009.8,0,0,open_meteo
2025-08-23T11:44:14.285355+00:00,2025_ID37092,Carrara,-28.0025,153.3669,2025-08-27T10:00:00+00:00,13.4,13.2,92,0.0,0,5.4,25.9,270,1009.7,0,0,open_meteo
2025-08-23T11:44:14.285355+00:00,2025_ID37092,Carrara,-28.0025,153.3669,2025-08-27T11:00:00+00:00,13.1,13.0,93,0.0,0,5.4,25.9,270,1010.0,0,0,open_meteo
2025-08-23T11:44:14.285355+00:00,2025_ID37092,Carrara,-28.0025,153.3669,2025-08-27T12:00:00+00:00,13.1,13.0,93,0.0,0,5.1,25.6,274,1010.6,0,0,open_meteo
2025-08-23T11:44:14.285355+00:00,2025_ID37092,Carrara,-28.0025,153.3669,2025-08-27T13:00:00+00:00,14.0,13.9,90,0.0,0,5.4,25.6,278,1011.1,0,0,open_meteo
2025-08-23T11:44:14.285355+00:00,2025_ID37092,Carrara,-28.0025,153.3669,2025-08-27T14:00:00+00:00,16.4,16.3,80,0.0,0,6.6,29.2,283,1011.5,1,0,open_meteo
2025-08-23T11:44:14.285355+00:00,2025_ID37092,Carrara,-28.0025,153.3669,2025-08-27T15:00:00+00:00,19.7,19.5,66,0.0,0,8.2,32.4,285,1011.8,1,0,open_meteo
2025-08-23T11:44:10.701598+00:00,2025_ID37288,Sydney Showground,-33.8463,151.0674,2025-08-23T21:00:00+00:00,16.7,15.0,59,0.0,0,8.9,25.2,230,1013.6,100,3,open_meteo
2025-08-23T11:44:10.701598+00:00,2025_ID37288,Sydney Showground,-33.8463,151.0674,2025-08-23T22:00:00+00:00,16.3,14.5,61,0.0,0,9.9,22.7,226,1013.6,99,3,open_meteo
2025-08-23T11:44:10.701598+00:00,2025_ID37288,Sydney Showground,-33.8463,151.0674,2025-08-23T23:00:00+00:00,16.0,14.3,63,0.0,0,9.7,23.4,228,1014.1,83,3,open_meteo
2025-08-23T11:44:10.701598+00:00,2025_ID37288,Sydney Showground,-33.8463,151.0674,2025-08-24T00:00:00+00:00,15.2,13.7,66,0.0,0,8.0,22.0,234,1014.5,79,2,open_meteo
2025-08-23T11:44:10.701598+00:00,2025_ID37288,Sydney Showground,-33.8463,151.0674,2025-08-24T01:00:00+00:00,14.7,13.3,68,0.0,3,7.1,17.6,240,1015.2,61,2,open_meteo
2025-08-23T11:44:10.701598+00:00,2025_ID37288,Sydney Showground,-33.8463,151.0674,2025-08-24T02:00:00+00:00,14.1,12.7,70,0.0,0,6.8,15.8,245,1015.2,53,2,open_meteo
2025-08-23T11:44:10.701598+00:00,2025_ID37288,Sydney Showground,-33.8463,151.0674,2025-08-24T03:00:00+00:00,13.5,12.3,73,0.0,0,5.7,14.4,252,1015.2,44,2,open_meteo
2025-08-23T11:44:10.701598+00:00,2025_ID37288,Sydney Showground,-33.8463,151.0674,2025-08-24T04:00:00+00:00,13.1,11.8,74,0.0,0,6.0,13.3,253,1014.8,62,2,open_meteo
