captured_at_utc,bookmaker,event_url,market_group,market_name,selection,line,decimal_odds,raw_payload,season,round,hash_key,source_kind
2025-07-19T23:59:00+00:00,market_consensus,asb:2025:Sydney_vs_North Melbourne:2025-07-19,H2H,Match,Home,,1.08,,2025,,d06d458ef96e48233655825a1ff3c4d1618e10b12a529dca7df7fa1420974ea6,asb_excel
2025-03-20T23:59:00+00:00,market_consensus,asb:2025:Carlton_vs_Hawthorn:2025-03-20,H2H,Match,Away,,1.41,,2025,,97948a84ee2e81c4b96faad6d6bb8d853c23f466ad59ccd91339f4c7ba003c81,asb_excel
2025-08-16T23:59:00+00:00,market_consensus,asb:2025:Carlton_vs_Port Adelaide:2025-08-16,H2H,Match,Home,,1.47,,2025,,00d4bbcbc023dabf9296c7ff33d1ffcce6e3eba2b40de2c916be4465256ff361,asb_excel
2025-04-27T23:59:00+00:00,market_consensus,asb:2025:Hawthorn_vs_West Coast:2025-04-27,H2H,Match,Away,,10.12,,2025,,e55925ec3d982d3ac68699ab82382ce634cfc9fd4e4cd77646cc3eccc08ba9fd,asb_excel
2025-03-16T23:59:00+00:00,market_consensus,asb:2025:West Coast_vs_Gold Coast:2025-03-16,H2H,Match,Away,,1.53,,2025,,22e15d1a7c9db01bb24ca577aae44d5975fa810da7c345e881961d53458c26b0,asb_excel
2025-04-27T23:59:00+00:00,market_consensus,asb:2025:Carlton_vs_Geelong:2025-04-27,H2H,Match,Home,,2.29,,2025,,06592c2501238519ee129e1ec699477f7c887b179fad3a58d9696c7aa5242c76,asb_excel
2025-08-01T23:59:00+00:00,market_consensus,asb:2025:Adelaide_vs_Hawthorn:2025-08-01,H2H,Match,Away,,2.63,,2025,,526a67842eddbfcd25d9fc9fcf3dcae9ddb8e244473e256cb5d11716e16b1243,asb_excel
2025-03-15T23:59:00+00:00,market_consensus,asb:2025:Collingwood_vs_Port Adelaide:2025-03-15,H2H,Match,Home,,1.55,,2025,,877831ab9142902de2e9eae98458cdc2e47e17184876d8ed5287a03f27fff013,asb_excel
2025-03-22T23:59:00+00:00,market_consensus,asb:2025:Port Adelaide_vs_Richmond:2025-03-22,H2H,Match,Away,,6.3,,2025,,daf527b2a3df1cbe87cb4f5dfc751737fcd7676480c41a4823c36af710b267be,asb_excel
2025-07-04T23:59:00+00:00,market_consensus,asb:2025:Carlton_vs_Collingwood:2025-07-04,H2H,Match,Home,,4.31,,2025,,fb74f52c30455c513662579bd81f60cd3ee4bd30253cb1091268ccc49323944d,asb_excel
2025-08-24T23:59:00+00:00,market_consensus,asb:2025:GWS Giants_vs_St Kilda:2025-08-24,H2H,Match,Home,,1.16,,2025,,44be075ba91c2f2aedb85dad05c67c4f5b8618521d995cd08fa415bf4877ee10,asb_excel
2025-08-15T23:59:00+00:00,market_consensus,asb:2025:Essendon_vs_St Kilda:2025-08-15,H2H,Match,Home,,4.19,,2025,,d7e5baa438803bfa8e9da46b43be4d3be1f9b6225561037cd152005b351119ee,asb_excel
2025-05-25T23:59:00+00:00,market_consensus,asb:2025:St Kilda_vs_Gold Coast:2025-05-25,H2H,Match,Home,,2.53,,2025,,2e36f49d2d393b8ef35a0d5261d6af1ce219df6e22afd5f5f13eebefed172e34,asb_excel
2025-05-24T23:59:00+00:00,market_consensus,asb:2025:Carlton_vs_GWS Giants:2025-05-24,H2H,Match,Away,,2.27,,2025,,79bacf2a3b58fa8ebb9f56cd6a6423fa69d9dfd709e5e0cc020e4d5d3cd70f2b,asb_excel
2025-03-16T23:59:00+00:00,market_consensus,asb:2025:West Coast_vs_Gold Coast:2025-03-16,H2H,Match,Home,,2.4,,2025,,615bcbf6bfbb4ad3fc1a148f2b783b9d5e0ebd04e657edd126ded49ee670e4b8,asb_excel
2025-04-12T23:59:00+00:00,market_consensus,asb:2025:North Melbourne_vs_Gold Coast:2025-04-12,H2H,Match,Away,,1.23,,2025,,30b7f20314d00a4937323f1328e40c636cb4732e672fdaef963215752adac096,asb_excel
2025-06-09T23:59:00+00:00,market_consensus,asb:2025:Melbourne_vs_Collingwood:2025-06-09,H2H,Match,Home,,3.69,,2025,,ac5e79a24ada6905f1121e6a373848bade73cb79bb8c958a16078d5afc0ec4fc,asb_excel
2025-03-15T23:59:00+00:00,market_consensus,asb:2025:Collingwood_vs_Port Adelaide:2025-03-15,H2H,Match,Away,,2.35,,2025,,b94327adf05a3f62da3f2ec396899c73064ba0a71cd75dc1e5cfb7d1f640a7b6,asb_excel
2025-05-03T23:59:00+00:00,market_consensus,asb:2025:West Coast_vs_Melbourne:2025-05-03,H2H,Match,Home,,2.6,,2025,,6f3a3d06fd871aae69f8bf160334bc8b003c5cd0ea527e85cc24a2280cc11d76,asb_excel
2025-06-06T23:59:00+00:00,market_consensus,asb:2025:Adelaide_vs_Brisbane Lions:2025-06-06,H2H,Match,Home,,1.52,,2025,,64143af453f3bdee3716d0fdaa81472335e1c84429bd128621885a3a1aa511af,asb_excel
2025-07-24T23:59:00+00:00,market_consensus,asb:2025:Hawthorn_vs_Carlton:2025-07-24,H2H,Match,Away,,4.29,,2025,,c3dc4b52cec35de01d0d1bc25fd00312274c699560e7305c88f77d9429c8f7b2,asb_excel
2025-04-26T23:59:00+00:00,market_consensus,asb:2025:GWS Giants_vs_Western Bulldogs:2025-04-26,H2H,Match,Away,,2.44,,2025,,bc99b531181f2166a84a25d6a9b03fbaa84286a11abea8eaf5ed12f4508c8972,asb_excel
2025-08-17T23:59:00+00:00,market_consensus,asb:2025:Western Bulldogs_vs_West Coast:2025-08-17,H2H,Match,Away,,14.95,,2025,,21ef92ae367e094e71f3e71b2617f5e821144049db77bb9756d2cc1396eca70a,asb_excel
2025-08-09T23:59:00+00:00,market_consensus,asb:2025:Carlton_vs_Gold Coast:2025-08-09,H2H,Match,Away,,1.24,,2025,,c0a49add763dd986880fa6531a85b15d6e4671269a5a1a1a9b01c40bcfdd0a3d,asb_excel
2025-08-02T23:59:00+00:00,market_consensus,asb:2025:Sydney_vs_Essendon:2025-08-02,H2H,Match,Home,,1.07,,2025,,512f2750567995047fa03f1c66d79e7e601e0173f567b7dae5ff97c59f1cb6ee,asb_excel
2025-04-17T23:59:00+00:00,market_consensus,asb:2025:Brisbane Lions_vs_Collingwood:2025-04-17,H2H,Match,Home,,1.52,,2025,,a8bc80a6635e2ff76414047c3b092bcd7e032a0bc86cac86815de92113157dfd,asb_excel
2025-05-24T23:59:00+00:00,market_consensus,asb:2025:North Melbourne_vs_Collingwood:2025-05-24,H2H,Match,Home,,4.09,,2025,,8949a056b581188854402d46a8a590c1af2e3a7ffb470428763142409dc39241,asb_excel
