captured_at_utc,bookmaker,event_url,market_group,market_name,selection,line,decimal_odds,raw_payload,season,round,hash_key
2025-08-28T09:45:37+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2403224,H2H_or_Unknown,Unparsed,Sel3,,0.95,,2025,finals_w1,a6c6fe0b672c9569f498d5073ef8f0f14a31547163843f150182930565fb2114
2025-08-28T09:47:54+00:00,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/fremantle-v-gold-coast-suns-9554694,H2H_or_Unknown,Unparsed,Sel2,,0.15,,2025,regular,4b1f0adcecc46b7b49b45d00fd37c09a9b03dc7fba50bf4185f45ae882009b4d
2025-08-28T09:45:43+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2406663,H2H_or_Unknown,Unparsed,Sel19,,2.63,,2025,finals_w1,df60073ec29d1ea10f6c76be7b2b0332c899c21468ca0cedced38ab8ef35935c
2025-08-28T09:45:40+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2406664,H2H_or_Unknown,Unparsed,Sel16,,4.55,,2025,finals_w1,9f7460a6a4b349ece6cbd8d231c2c28d482c12fa1b3a811804f713ee6e04dbc1
2025-08-28T09:45:43+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2406663,H2H_or_Unknown,Unparsed,Sel5,,0.95,,2025,finals_w1,8ac49504335a1606c9d9cabf81f5a5a76f511222433553131fa7c26c2ee8de83
2025-08-28T09:45:43+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2406663,H2H_or_Unknown,Unparsed,Sel1,,3.47,,2025,finals_w1,8809f9b78a9c8e8a77f0d1d2fb1c709345a6ec2aba0498c32b6620d21fd6d58e
2025-08-28T09:45:40+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2406664,H2H_or_Unknown,Unparsed,Sel5,,0.95,,2025,finals_w1,a665a6779fe341d7f56b9cd0ba72f55250d56e0238bf32a341ec9845453af5cf
2025-08-28T09:45:43+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2406663,H2H_or_Unknown,Unparsed,Sel7,,0.95,,2025,finals_w1,9b8258626a8853cd4e3560a89706e5d23b5cc6fc4b91b070820be632d6763041
2025-08-28T09:45:43+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2406663,H2H_or_Unknown,Unparsed,Sel6,,0.95,,2025,finals_w1,fd167a50e1ccd9e35b52c23378d71bb8ed607d6e1ecca3628fa5ed21fcfe2935
2025-08-28T09:45:46+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2403225,H2H_or_Unknown,Unparsed,Sel6,,0.95,,2025,finals_w1,0ddce28774775c525559ac251d16d7f9044c1a6d1677b94eb76f9fe9fd1eb78f
2025-08-28T09:45:37+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2403224,H2H_or_Unknown,Unparsed,Sel16,,2.63,,2025,finals_w1,dc495aade5353c135c7326e0abd6535ba9ba97d9f62117fd0ab1037b437b5ad5
2025-08-28T09:45:43+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2406663,H2H_or_Unknown,Unparsed,Sel11,,1.01,,2025,finals_w1,b0d5badbc8e5088df0df4fdd1f0920696e8f8e18f01e439e281469f7e52a74d4
2025-08-28T09:47:58+00:00,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/geelong-cats-v-brisbane-lions-9551769,H2H_or_Unknown,Unparsed,Sel20,,0.45,,2025,finals_w1,22c69906cb20ba4a5fb255b3801fdd77f377cbbfa62243ef529c9ebbdf81b4cb
2025-08-28T09:45:49+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2403224,H2H_or_Unknown,Unparsed,Sel15,,3.21,,2025,finals_w1,3cd69df97d599a631283500851e142f076395e3772ef729b3e8a10dccec9066e
2025-08-28T09:45:37+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2403224,H2H_or_Unknown,Unparsed,Sel15,,4.55,,2025,finals_w1,405b6cec24bc04b1a4039c9f4c3bf71a0a42b8b7f75d5b33d5884e2219de4074
2025-08-28T09:45:43+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2406663,H2H_or_Unknown,Unparsed,Sel17,,2.63,,2025,finals_w1,9277dde2e59a4d3b79232ef2a3057a03b51fd2d62018f9400dfdf07bfdd28ac4
2025-08-28T09:45:46+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2403225,H2H_or_Unknown,Unparsed,Sel2,,1.15,,2025,finals_w1,3e471f7c402381dae31b9fc849aac8d4bbb13fc7fa54b7397c10f4c76ceb62d5
2025-08-28T09:47:58+00:00,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/geelong-cats-v-brisbane-lions-9551769,H2H_or_Unknown,Unparsed,Sel11,,0.23,,2025,finals_w1,25beead01d2a70fc9e024e600e98c3a65c3c796d5302a551a814fb4c0fae78fc
2025-08-28T09:45:37+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2403224,H2H_or_Unknown,Unparsed,Sel12,,4.77,,2025,finals_w1,770ecf7680e63b35c4819fd5d45bfcb326dd9155a95fc62ca3768b50f163b6a8
2025-08-28T09:45:40+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2406664,H2H_or_Unknown,Unparsed,Sel15,,3.21,,2025,finals_w1,a603126404878508e518f9a4f3d4039e49c475dd90cbd05d5689bcabd0ea2f86
2025-08-28T09:47:54+00:00,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/fremantle-v-gold-coast-suns-9554694,H2H_or_Unknown,Unparsed,Sel5,,0.23,,2025,regular,4daad730dfc1454f4fd39f564a9ceb982489a01f75d85e7bc2f92430269a1c67
2025-08-28T09:45:49+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2403224,H2H_or_Unknown,Unparsed,Sel19,,2.63,,2025,finals_w1,9b09b391fd8a697ace291a54270ede8b472815505dfef0135b691ccd77b5fd27
