season,round,home,away,home_score,away_score,home_goals,home_behinds,away_goals,away_behinds,venue,start_time_utc,match_id_source,source_kind,raw_payload
2025,24,Essendon,Carlton,56,90,8,8,13,12,M.C.G.,2025-08-21 11:30:00+00:00,37293,squiggle,"{""date"": ""2025-08-21 19:30:00"", ""hbehinds"": 8, ""hteam"": ""Essendon"", ""id"": 37293, ""roundname"": ""Round 24"", ""hgoals"": 8, ""hscore"": 56, ""complete"": 100, ""ateamid"": 3, ""winnerteamid"": 3, ""is_final"": 0, ""winner"": ""Carlton"", ""hteamid"": 5, ""ascore"": 90, ""agoals"": 13, ""timestr"": ""Full Time"", ""tz"": ""+10:00"", ""unixtime"": 1755768600, ""venue"": ""M.C.G."", ""ateam"": ""Carlton"", ""abehinds"": 12, ""round"": 24, ""updated"": ""2025-08-21 22:03:24"", ""year"": 2025, ""localtime"": ""2025-08-21 19:30:00"", ""is_grand_final"": 0}"
2025,24,Collingwood,Melbourne,82,76,11,16,11,10,M.C.G.,2025-08-22 11:10:00+00:00,37291,squiggle,"{""hteam"": ""Collingwood"", ""id"": 37291, ""roundname"": ""Round 24"", ""hscore"": 82, ""complete"": 100, ""winnerteamid"": 4, ""ateamid"": 11, ""hgoals"": 11, ""is_final"": 0, ""winner"": ""Collingwood"", ""date"": ""2025-08-22 19:10:00"", ""hbehinds"": 16, ""abehinds"": 10, ""round"": 24, ""updated"": ""2025-08-22 21:46:43"", ""localtime"": ""2025-08-22 19:10:00"", ""year"": 2025, ""is_grand_final"": 0, ""hteamid"": 4, ""ascore"": 76, ""agoals"": 11, ""timestr"": ""Full Time"", ""unixtime"": 1755853800, ""tz"": ""+10:00"", ""venue"": ""M.C.G."", ""ateam"": ""Melbourne""}"
2025,24,Port Adelaide,Gold Coast,71,67,10,11,9,13,Adelaide Oval,2025-08-22 12:10:00+00:00,37295,squiggle,"{""hbehinds"": 11, ""date"": ""2025-08-22 20:10:00"", ""winner"": ""Port Adelaide"", ""is_final"": 0, ""hscore"": 71, ""complete"": 100, ""ateamid"": 8, ""hgoals"": 10, ""winnerteamid"": 13, ""roundname"": ""Round 24"", ""id"": 37295, ""hteam"": ""Port Adelaide"", ""venue"": ""Adelaide Oval"", ""ateam"": ""Gold Coast"", ""unixtime"": 1755857400, ""tz"": ""+10:00"", ""timestr"": ""Full Time"", ""hteamid"": 13, ""ascore"": 67, ""agoals"": 9, ""is_grand_final"": 0, ""year"": 2025, ""localtime"": ""2025-08-22 19:40:00"", ""updated"": ""2025-08-22 22:48:09"", ""round"": 24, ""abehinds"": 13}"
2025,24,North Melbourne,Adelaide,100,113,15,10,17,11,Docklands,2025-08-23 05:20:00+00:00,37289,squiggle,"{""is_grand_final"": 0, ""updated"": ""2025-08-23 16:05:34"", ""localtime"": ""2025-08-23 13:20:00"", ""year"": 2025, ""abehinds"": 11, ""round"": 24, ""unixtime"": 1755919200, ""tz"": ""+10:00"", ""ateam"": ""Adelaide"", ""venue"": ""Docklands"", ""timestr"": ""Full Time"", ""ascore"": 113, ""agoals"": 17, ""hteamid"": 12, ""winner"": ""Adelaide"", ""complete"": 100, ""hgoals"": 15, ""hscore"": 100, ""ateamid"": 1, ""winnerteamid"": 1, ""is_final"": 0, ""roundname"": ""Round 24"", ""hteam"": ""North Melbourne"", ""id"": 37289, ""hbehinds"": 10, ""date"": ""2025-08-23 13:20:00""}"
2025,24,Richmond,Geelong,64,103,9,10,14,19,M.C.G.,2025-08-23 08:15:00+00:00,37292,squiggle,"{""hbehinds"": 10, ""date"": ""2025-08-23 16:15:00"", ""hscore"": 64, ""hgoals"": 9, ""complete"": 100, ""winnerteamid"": 7, ""ateamid"": 7, ""is_final"": 0, ""winner"": ""Geelong"", ""hteam"": ""Richmond"", ""id"": 37292, ""roundname"": ""Round 24"", ""tz"": ""+10:00"", ""unixtime"": 1755929700, ""ateam"": ""Geelong"", ""venue"": ""M.C.G."", ""ascore"": 103, ""hteamid"": 14, ""agoals"": 14, ""timestr"": ""Full Time"", ""is_grand_final"": 0, ""abehinds"": 19, ""round"": 24, ""updated"": ""2025-08-23 18:53:01"", ""localtime"": ""2025-08-23 16:15:00"", ""year"": 2025}"
2025,24,West Coast,Sydney,51,118,7,9,18,10,Perth Stadium,2025-08-23 11:35:00+00:00,37296,squiggle,"{""hbehinds"": 9, ""date"": ""2025-08-23 19:35:00"", ""winner"": ""Sydney"", ""complete"": 100, ""hscore"": 51, ""ateamid"": 16, ""hgoals"": 7, ""winnerteamid"": 16, ""is_final"": 0, ""roundname"": ""Round 24"", ""hteam"": ""West Coast"", ""id"": 37296, ""tz"": ""+10:00"", ""unixtime"": 1755941700, ""ateam"": ""Sydney"", ""venue"": ""Perth Stadium"", ""timestr"": ""Full Time"", ""hteamid"": 17, ""agoals"": 18, ""ascore"": 118, ""is_grand_final"": 0, ""updated"": ""2025-08-23 22:11:03"", ""localtime"": ""2025-08-23 17:35:00"", ""year"": 2025, ""abehinds"": 10, ""round"": 24}"
2025,24,Greater Western Sydney,St Kilda,104,93,15,14,14,9,Sydney Showground,2025-08-24 04:20:00+00:00,37288,squiggle,"{""ateam"": ""St Kilda"", ""venue"": ""Sydney Showground"", ""unixtime"": 1756002000, ""tz"": ""+10:00"", ""ascore"": 93, ""agoals"": 14, ""hteamid"": 9, ""timestr"": ""Full Time"", ""is_grand_final"": 0, ""round"": 24, ""abehinds"": 9, ""localtime"": ""2025-08-24 12:20:00"", ""year"": 2025, ""updated"": ""2025-08-24 15:08:59"", ""hbehinds"": 14, ""date"": ""2025-08-24 12:20:00"", ""is_final"": 0, ""complete"": 100, ""hscore"": 104, ""winnerteamid"": 9, ""ateamid"": 15, ""hgoals"": 15, ""winner"": ""Greater Western Sydney"", ""id"": 37288, ""hteam"": ""Greater Western Sydney"", ""roundname"": ""Round 24""}"
2025,24,Western Bulldogs,Fremantle,97,112,14,13,17,10,Docklands,2025-08-24 07:15:00+00:00,37290,squiggle,"{""hbehinds"": 13, ""date"": ""2025-08-24 15:15:00"", ""is_final"": 0, ""hscore"": 97, ""hgoals"": 14, ""complete"": 100, ""winnerteamid"": 6, ""ateamid"": 6, ""winner"": ""Fremantle"", ""id"": 37290, ""hteam"": ""Western Bulldogs"", ""roundname"": ""Round 24"", ""venue"": ""Docklands"", ""ateam"": ""Fremantle"", ""tz"": ""+10:00"", ""unixtime"": 1756012500, ""hteamid"": 18, ""agoals"": 17, ""ascore"": 112, ""timestr"": ""Full Time"", ""is_grand_final"": 0, ""round"": 24, ""abehinds"": 10, ""localtime"": ""2025-08-24 15:15:00"", ""year"": 2025, ""updated"": ""2025-08-24 17:56:22""}"
2025,24,Brisbane Lions,Hawthorn,89,79,11,23,11,13,Gabba,2025-08-24 11:20:00+00:00,37294,squiggle,"{""timestr"": ""Full Time"", ""ascore"": 79, ""agoals"": 11, ""hteamid"": 2, ""venue"": ""Gabba"", ""ateam"": ""Hawthorn"", ""tz"": ""+10:00"", ""unixtime"": 1756027200, ""localtime"": ""2025-08-24 19:20:00"", ""year"": 2025, ""updated"": ""2025-08-24 21:59:08"", ""round"": 24, ""abehinds"": 13, ""is_grand_final"": 0, ""date"": ""2025-08-24 19:20:00"", ""hbehinds"": 23, ""roundname"": ""Round 24"", ""id"": 37294, ""hteam"": ""Brisbane Lions"", ""winner"": ""Brisbane Lions"", ""is_final"": 0, ""hscore"": 89, ""complete"": 100, ""hgoals"": 11, ""winnerteamid"": 2, ""ateamid"": 10}"
2025,24,Gold Coast,Essendon,153,58,23,15,8,10,Carrara,2025-08-27 11:20:00+00:00,37092,squiggle,"{""year"": 2025, ""localtime"": ""2025-08-27 19:20:00"", ""updated"": ""2025-08-27 21:57:53"", ""round"": 24, ""abehinds"": 10, ""is_grand_final"": 0, ""timestr"": ""Full Time"", ""hteamid"": 8, ""agoals"": 8, ""ascore"": 58, ""venue"": ""Carrara"", ""ateam"": ""Essendon"", ""tz"": ""+10:00"", ""unixtime"": 1756286400, ""roundname"": ""Round 24"", ""id"": 37092, ""hteam"": ""Gold Coast"", ""winner"": ""Gold Coast"", ""is_final"": 0, ""hscore"": 153, ""ateamid"": 5, ""complete"": 100, ""hgoals"": 23, ""winnerteamid"": 8, ""date"": ""2025-08-27 19:20:00"", ""hbehinds"": 15}"
