provider,venue,lat,lon,tz,captured_at_utc,forecast_time_utc,season,round,game_key,temp_c,wind_speed_ms,wind_gust_ms,rain_prob,pressure_hpa,cloud_pct,raw_payload
open-meteo,Adelaide Oval,-34.91558,138.59619,Australia/Adelaide,2025-08-28T12:24:42.702250+00:00,2025-09-04T03:00:00+00:00,2025,finals_w1,2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,15.6,4.7,7.4,0.12,1011.7,100.0,"{'elevation': 23.0, 'generationtime_ms': 0.7717609405517578}"
open-meteo,Adelaide Oval,-34.91558,138.59619,Australia/Adelaide,2025-08-28T12:24:42.702250+00:00,2025-09-04T04:00:00+00:00,2025,finals_w1,2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,15.2,5.02,6.8,0.13,1012.0,100.0,"{'elevation': 23.0, 'generationtime_ms': 0.7717609405517578}"
open-meteo,Adelaide Oval,-34.91558,138.59619,Australia/Adelaide,2025-08-28T12:24:42.702250+00:00,2025-09-04T05:00:00+00:00,2025,finals_w1,2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,16.4,2.92,8.1,0.08,1010.0,100.0,"{'elevation': 23.0, 'generationtime_ms': 0.7717609405517578}"
open-meteo,Adelaide Oval,-34.91558,138.59619,Australia/Adelaide,2025-08-28T12:24:42.702250+00:00,2025-09-04T06:00:00+00:00,2025,finals_w1,2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,15.9,2.5,7.2,0.12,1009.3,100.0,"{'elevation': 23.0, 'generationtime_ms': 0.7717609405517578}"
open-meteo,Adelaide Oval,-34.91558,138.59619,Australia/Adelaide,2025-08-28T12:24:42.702250+00:00,2025-09-04T07:00:00+00:00,2025,finals_w1,2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,15.5,1.98,6.3,0.16,1008.6,100.0,"{'elevation': 23.0, 'generationtime_ms': 0.7717609405517578}"
open-meteo,Adelaide Oval,-34.91558,138.59619,Australia/Adelaide,2025-08-28T12:24:42.702250+00:00,2025-09-04T08:00:00+00:00,2025,finals_w1,2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,15.2,1.46,5.0,0.17,1007.9,100.0,"{'elevation': 23.0, 'generationtime_ms': 0.7717609405517578}"
open-meteo,Adelaide Oval,-34.91558,138.59619,Australia/Adelaide,2025-08-28T12:24:42.702250+00:00,2025-09-04T09:00:00+00:00,2025,finals_w1,2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,14.8,1.92,3.8,0.18,1007.3,100.0,"{'elevation': 23.0, 'generationtime_ms': 0.7717609405517578}"
open-meteo,Adelaide Oval,-34.91558,138.59619,Australia/Adelaide,2025-08-28T12:24:42.702250+00:00,2025-09-04T10:00:00+00:00,2025,finals_w1,2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,14.5,2.24,3.8,0.19,1006.8,100.0,"{'elevation': 23.0, 'generationtime_ms': 0.7717609405517578}"
open-meteo,Adelaide Oval,-34.91558,138.59619,Australia/Adelaide,2025-08-28T12:24:42.702250+00:00,2025-09-04T11:00:00+00:00,2025,finals_w1,2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,14.3,2.55,6.1,0.2,1006.7,100.0,"{'elevation': 23.0, 'generationtime_ms': 0.7717609405517578}"
open-meteo,Adelaide Oval,-34.91558,138.59619,Australia/Adelaide,2025-08-28T12:24:42.702250+00:00,2025-09-04T12:00:00+00:00,2025,finals_w1,2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,14.2,4.94,9.6,0.21,1006.8,100.0,"{'elevation': 23.0, 'generationtime_ms': 0.7717609405517578}"
open-meteo,Adelaide Oval,-34.91558,138.59619,Australia/Adelaide,2025-08-28T12:24:42.702250+00:00,2025-09-04T13:00:00+00:00,2025,finals_w1,2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,13.9,7.29,12.5,0.23,1006.9,100.0,"{'elevation': 23.0, 'generationtime_ms': 0.7717609405517578}"
open-meteo,Adelaide Oval,-34.91558,138.59619,Australia/Adelaide,2025-08-28T12:24:42.702250+00:00,2025-09-04T14:00:00+00:00,2025,finals_w1,2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,13.4,8.24,14.2,0.28,1007.0,100.0,"{'elevation': 23.0, 'generationtime_ms': 0.7717609405517578}"
open-meteo,Adelaide Oval,-34.91558,138.59619,Australia/Adelaide,2025-08-28T12:24:42.702250+00:00,2025-09-04T15:00:00+00:00,2025,finals_w1,2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,12.7,8.92,15.4,0.35,1007.2,100.0,"{'elevation': 23.0, 'generationtime_ms': 0.7717609405517578}"
open-meteo,Melbourne Cricket Ground,-37.819954,144.983398,Australia/Melbourne,2025-08-28T12:24:42.702250+00:00,2025-09-05T03:00:00+00:00,2025,finals_w1,2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z,14.5,4.39,14.8,0.29,1007.2,100.0,"{'elevation': 13.0, 'generationtime_ms': 0.17750263214111328}"
open-meteo,Melbourne Cricket Ground,-37.819954,144.983398,Australia/Melbourne,2025-08-28T12:24:42.702250+00:00,2025-09-05T04:00:00+00:00,2025,finals_w1,2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z,13.2,4.02,16.1,0.23,1007.6,100.0,"{'elevation': 13.0, 'generationtime_ms': 0.17750263214111328}"
open-meteo,Melbourne Cricket Ground,-37.819954,144.983398,Australia/Melbourne,2025-08-28T12:24:42.702250+00:00,2025-09-05T05:00:00+00:00,2025,finals_w1,2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z,12.2,3.89,14.8,0.2,1007.9,100.0,"{'elevation': 13.0, 'generationtime_ms': 0.17750263214111328}"
open-meteo,Melbourne Cricket Ground,-37.819954,144.983398,Australia/Melbourne,2025-08-28T12:24:42.702250+00:00,2025-09-05T06:00:00+00:00,2025,finals_w1,2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z,11.5,3.94,12.3,0.19,1008.2,100.0,"{'elevation': 13.0, 'generationtime_ms': 0.17750263214111328}"
