season,round,venue_id,venue_norm_canon,venue,weather_time_utc,captured_at_utc,payload_json,temp_c,pressure_hpa,cloud_pct,rain_prob,wind_speed_ms,wind_gust_ms,tz,provider,lat,lon
2025,finals_w1,vn_0635dce461b5,adelaide oval,Adelaide Oval,2025-09-04 03:00:00+00:00,2025-08-30 06:28:27.877350+00:00,"{""forecast_time_utc"": ""2025-09-04T03:00:00+00:00"", ""game_key"": ""2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z"", ""raw_payload"": {""elevation"": 23.0, ""generationtime_ms"": 1.2940168380737305}}",12.7,1022.8,100.0,0.07,4.24,6.4,Australia/Adelaide,open-meteo,-34.91558,138.59619
2025,finals_w1,vn_0635dce461b5,adelaide oval,Adelaide Oval,2025-09-04 04:00:00+00:00,2025-08-30 06:28:27.877350+00:00,"{""forecast_time_utc"": ""2025-09-04T04:00:00+00:00"", ""game_key"": ""2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z"", ""raw_payload"": {""elevation"": 23.0, ""generationtime_ms"": 1.2940168380737305}}",12.3,1023.0,100.0,0.08,4.5,6.5,Australia/Adelaide,open-meteo,-34.91558,138.59619
2025,finals_w1,vn_0635dce461b5,adelaide oval,Adelaide Oval,2025-09-04 05:00:00+00:00,2025-08-30 06:28:27.877350+00:00,"{""forecast_time_utc"": ""2025-09-04T05:00:00+00:00"", ""game_key"": ""2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z"", ""raw_payload"": {""elevation"": 23.0, ""generationtime_ms"": 1.2940168380737305}}",12.0,1023.1,100.0,0.09,4.82,6.6,Australia/Adelaide,open-meteo,-34.91558,138.59619
2025,finals_w1,vn_0635dce461b5,adelaide oval,Adelaide Oval,2025-09-04 06:00:00+00:00,2025-08-30 06:28:27.877350+00:00,"{""forecast_time_utc"": ""2025-09-04T06:00:00+00:00"", ""game_key"": ""2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z"", ""raw_payload"": {""elevation"": 23.0, ""generationtime_ms"": 1.2940168380737305}}",11.6,1023.0,100.0,0.11,4.93,6.7,Australia/Adelaide,open-meteo,-34.91558,138.59619
2025,finals_w1,vn_0635dce461b5,adelaide oval,Adelaide Oval,2025-09-04 07:00:00+00:00,2025-08-30 06:28:27.877350+00:00,"{""forecast_time_utc"": ""2025-09-04T07:00:00+00:00"", ""game_key"": ""2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z"", ""raw_payload"": {""elevation"": 23.0, ""generationtime_ms"": 1.2940168380737305}}",11.4,1022.9,100.0,0.13,5.15,6.8,Australia/Adelaide,open-meteo,-34.91558,138.59619
2025,finals_w1,vn_0635dce461b5,adelaide oval,Adelaide Oval,2025-09-04 08:00:00+00:00,2025-08-30 06:28:27.877350+00:00,"{""forecast_time_utc"": ""2025-09-04T08:00:00+00:00"", ""game_key"": ""2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z"", ""raw_payload"": {""elevation"": 23.0, ""generationtime_ms"": 1.2940168380737305}}",11.3,1022.6,100.0,0.15,5.36,7.3,Australia/Adelaide,open-meteo,-34.91558,138.59619
2025,finals_w1,vn_0635dce461b5,adelaide oval,Adelaide Oval,2025-09-04 09:00:00+00:00,2025-08-30 06:28:27.877350+00:00,"{""forecast_time_utc"": ""2025-09-04T09:00:00+00:00"", ""game_key"": ""2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z"", ""raw_payload"": {""elevation"": 23.0, ""generationtime_ms"": 1.2940168380737305}}",11.2,1022.3,100.0,0.17,5.76,7.9,Australia/Adelaide,open-meteo,-34.91558,138.59619
2025,finals_w1,vn_0635dce461b5,adelaide oval,Adelaide Oval,2025-09-04 10:00:00+00:00,2025-08-30 06:28:27.877350+00:00,"{""forecast_time_utc"": ""2025-09-04T10:00:00+00:00"", ""game_key"": ""2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z"", ""raw_payload"": {""elevation"": 23.0, ""generationtime_ms"": 1.2940168380737305}}",11.2,1022.1,100.0,0.19,6.35,8.4,Australia/Adelaide,open-meteo,-34.91558,138.59619
2025,finals_w1,vn_0635dce461b5,adelaide oval,Adelaide Oval,2025-09-04 11:00:00+00:00,2025-08-30 06:28:27.877350+00:00,"{""forecast_time_utc"": ""2025-09-04T11:00:00+00:00"", ""game_key"": ""2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z"", ""raw_payload"": {""elevation"": 23.0, ""generationtime_ms"": 1.2940168380737305}}",11.2,1022.1,100.0,0.21,7.29,9.7,Australia/Adelaide,open-meteo,-34.91558,138.59619
2025,finals_w1,vn_0635dce461b5,adelaide oval,Adelaide Oval,2025-09-04 12:00:00+00:00,2025-08-30 06:28:27.877350+00:00,"{""forecast_time_utc"": ""2025-09-04T12:00:00+00:00"", ""game_key"": ""2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z"", ""raw_payload"": {""elevation"": 23.0, ""generationtime_ms"": 1.2940168380737305}}",11.2,1022.2,100.0,0.24,8.39,10.9,Australia/Adelaide,open-meteo,-34.91558,138.59619
2025,finals_w1,vn_0635dce461b5,adelaide oval,Adelaide Oval,2025-09-04 13:00:00+00:00,2025-08-30 06:28:27.877350+00:00,"{""forecast_time_utc"": ""2025-09-04T13:00:00+00:00"", ""game_key"": ""2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z"", ""raw_payload"": {""elevation"": 23.0, ""generationtime_ms"": 1.2940168380737305}}",11.3,1022.3,100.0,0.25,9.21,12.2,Australia/Adelaide,open-meteo,-34.91558,138.59619
2025,finals_w1,vn_0635dce461b5,adelaide oval,Adelaide Oval,2025-09-04 14:00:00+00:00,2025-08-30 06:28:27.877350+00:00,"{""forecast_time_utc"": ""2025-09-04T14:00:00+00:00"", ""game_key"": ""2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z"", ""raw_payload"": {""elevation"": 23.0, ""generationtime_ms"": 1.2940168380737305}}",11.4,1022.4,100.0,0.27,9.73,12.8,Australia/Adelaide,open-meteo,-34.91558,138.59619
2025,finals_w1,vn_0635dce461b5,adelaide oval,Adelaide Oval,2025-09-04 15:00:00+00:00,2025-08-30 06:28:27.877350+00:00,"{""forecast_time_utc"": ""2025-09-04T15:00:00+00:00"", ""game_key"": ""2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z"", ""raw_payload"": {""elevation"": 23.0, ""generationtime_ms"": 1.2940168380737305}}",11.7,1022.6,100.0,0.28,10.1,13.5,Australia/Adelaide,open-meteo,-34.91558,138.59619
2025,finals_w1,vn_23749d6cd7ec,the mcg,Melbourne Cricket Ground,2025-09-05 03:00:00+00:00,2025-08-30 06:28:27.877350+00:00,"{""forecast_time_utc"": ""2025-09-05T03:00:00+00:00"", ""game_key"": ""2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z"", ""raw_payload"": {""elevation"": 13.0, ""generationtime_ms"": 0.2503395080566406}}",8.2,1027.4,100.0,0.18,0.63,2.1,Australia/Melbourne,open-meteo,-37.819954,144.983398
2025,finals_w1,vn_23749d6cd7ec,the mcg,Melbourne Cricket Ground,2025-09-05 04:00:00+00:00,2025-08-30 06:28:27.877350+00:00,"{""forecast_time_utc"": ""2025-09-05T04:00:00+00:00"", ""game_key"": ""2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z"", ""raw_payload"": {""elevation"": 13.0, ""generationtime_ms"": 0.2503395080566406}}",7.6,1027.3,100.0,0.18,1.0,1.9,Australia/Melbourne,open-meteo,-37.819954,144.983398
2025,finals_w1,vn_23749d6cd7ec,the mcg,Melbourne Cricket Ground,2025-09-05 05:00:00+00:00,2025-08-30 06:28:27.877350+00:00,"{""forecast_time_utc"": ""2025-09-05T05:00:00+00:00"", ""game_key"": ""2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z"", ""raw_payload"": {""elevation"": 13.0, ""generationtime_ms"": 0.2503395080566406}}",7.0,1027.2,100.0,0.18,1.1,1.9,Australia/Melbourne,open-meteo,-37.819954,144.983398
2025,finals_w1,vn_23749d6cd7ec,the mcg,Melbourne Cricket Ground,2025-09-05 06:00:00+00:00,2025-08-30 06:28:27.877350+00:00,"{""forecast_time_utc"": ""2025-09-05T06:00:00+00:00"", ""game_key"": ""2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z"", ""raw_payload"": {""elevation"": 13.0, ""generationtime_ms"": 0.2503395080566406}}",6.5,1027.1,100.0,0.18,1.0,1.9,Australia/Melbourne,open-meteo,-37.819954,144.983398
2025,finals_w1,vn_23749d6cd7ec,the mcg,Melbourne Cricket Ground,2025-09-05 07:00:00+00:00,2025-08-30 06:28:27.877350+00:00,"{""forecast_time_utc"": ""2025-09-05T07:00:00+00:00"", ""game_key"": ""2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z"", ""raw_payload"": {""elevation"": 13.0, ""generationtime_ms"": 0.2503395080566406}}",6.2,1026.9,100.0,0.17,1.0,1.9,Australia/Melbourne,open-meteo,-37.819954,144.983398
2025,finals_w1,vn_23749d6cd7ec,the mcg,Melbourne Cricket Ground,2025-09-05 08:00:00+00:00,2025-08-30 06:28:27.877350+00:00,"{""forecast_time_utc"": ""2025-09-05T08:00:00+00:00"", ""game_key"": ""2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z"", ""raw_payload"": {""elevation"": 13.0, ""generationtime_ms"": 0.2503395080566406}}",6.1,1026.5,100.0,0.17,1.1,2.1,Australia/Melbourne,open-meteo,-37.819954,144.983398
2025,finals_w1,vn_23749d6cd7ec,the mcg,Melbourne Cricket Ground,2025-09-05 09:00:00+00:00,2025-08-30 06:28:27.877350+00:00,"{""forecast_time_utc"": ""2025-09-05T09:00:00+00:00"", ""game_key"": ""2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z"", ""raw_payload"": {""elevation"": 13.0, ""generationtime_ms"": 0.2503395080566406}}",6.3,1026.1,100.0,0.16,1.12,2.4,Australia/Melbourne,open-meteo,-37.819954,144.983398
2025,finals_w1,vn_23749d6cd7ec,the mcg,Melbourne Cricket Ground,2025-09-05 10:00:00+00:00,2025-08-30 06:28:27.877350+00:00,"{""forecast_time_utc"": ""2025-09-05T10:00:00+00:00"", ""game_key"": ""2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z"", ""raw_payload"": {""elevation"": 13.0, ""generationtime_ms"": 0.2503395080566406}}",6.6,1025.8,100.0,0.15,1.36,2.6,Australia/Melbourne,open-meteo,-37.819954,144.983398
2025,finals_w1,vn_23749d6cd7ec,the mcg,Melbourne Cricket Ground,2025-09-05 11:00:00+00:00,2025-08-30 06:28:27.877350+00:00,"{""forecast_time_utc"": ""2025-09-05T11:00:00+00:00"", ""game_key"": ""2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z"", ""raw_payload"": {""elevation"": 13.0, ""generationtime_ms"": 0.2503395080566406}}",6.8,1025.7,94.0,0.14,1.66,3.5,Australia/Melbourne,open-meteo,-37.819954,144.983398
2025,finals_w1,vn_23749d6cd7ec,the mcg,Melbourne Cricket Ground,2025-09-05 12:00:00+00:00,2025-08-30 06:28:27.877350+00:00,"{""forecast_time_utc"": ""2025-09-05T12:00:00+00:00"", ""game_key"": ""2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z"", ""raw_payload"": {""elevation"": 13.0, ""generationtime_ms"": 0.2503395080566406}}",7.1,1025.7,88.0,0.13,2.02,4.5,Australia/Melbourne,open-meteo,-37.819954,144.983398
2025,finals_w1,vn_23749d6cd7ec,the mcg,Melbourne Cricket Ground,2025-09-05 13:00:00+00:00,2025-08-30 06:28:27.877350+00:00,"{""forecast_time_utc"": ""2025-09-05T13:00:00+00:00"", ""game_key"": ""2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z"", ""raw_payload"": {""elevation"": 13.0, ""generationtime_ms"": 0.2503395080566406}}",7.7,1025.8,82.0,0.12,2.56,5.4,Australia/Melbourne,open-meteo,-37.819954,144.983398
2025,finals_w1,vn_23749d6cd7ec,the mcg,Melbourne Cricket Ground,2025-09-05 14:00:00+00:00,2025-08-30 06:28:27.877350+00:00,"{""forecast_time_utc"": ""2025-09-05T14:00:00+00:00"", ""game_key"": ""2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z"", ""raw_payload"": {""elevation"": 13.0, ""generationtime_ms"": 0.2503395080566406}}",8.8,1025.9,83.0,0.12,3.45,7.6,Australia/Melbourne,open-meteo,-37.819954,144.983398
2025,finals_w1,vn_23749d6cd7ec,the mcg,Melbourne Cricket Ground,2025-09-05 15:00:00+00:00,2025-08-30 06:28:27.877350+00:00,"{""forecast_time_utc"": ""2025-09-05T15:00:00+00:00"", ""game_key"": ""2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z"", ""raw_payload"": {""elevation"": 13.0, ""generationtime_ms"": 0.2503395080566406}}",10.3,1026.1,84.0,0.11,4.63,9.9,Australia/Melbourne,open-meteo,-37.819954,144.983398
2025,finals_w1,vn_8c5a7154a509,optus stadium,Optus Stadium,2025-09-06 03:00:00+00:00,2025-08-30 06:28:27.877350+00:00,"{""forecast_time_utc"": ""2025-09-06T03:00:00+00:00"", ""game_key"": ""2025_finals_w1_fremantle-dockers_gold-coast-suns_20250906T093500Z"", ""raw_payload"": {""elevation"": 9.0, ""generationtime_ms"": 0.1533031463623047}}",14.7,1001.4,100.0,0.7,5.35,10.5,Australia/Perth,open-meteo,-31.95111,115.88917
2025,finals_w1,vn_8c5a7154a509,optus stadium,Optus Stadium,2025-09-06 04:00:00+00:00,2025-08-30 06:28:27.877350+00:00,"{""forecast_time_utc"": ""2025-09-06T04:00:00+00:00"", ""game_key"": ""2025_finals_w1_fremantle-dockers_gold-coast-suns_20250906T093500Z"", ""raw_payload"": {""elevation"": 9.0, ""generationtime_ms"": 0.1533031463623047}}",14.7,1001.6,100.0,0.7,5.22,10.0,Australia/Perth,open-meteo,-31.95111,115.88917
