game_key,bookmaker,market_group,market_name,selection,line,decimal_odds,captured_at_utc,source_kind,season,round,scheduled_time_utc,minutes_to_ko,rn
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,1st Goal Scorer,1st Goalscorer,Billy Dowling,0.0,29.0,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,1st Goal Scorer,1st Goalscorer,Jordan Dawson,0.0,18.0,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,Alternate Total Match Point,Alternate Total Match Point,Over 139.5,139.5,1.22,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,Alternate Total Match Point,Alternate Total Match Point,Over 142.5,142.5,1.27,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,Alternate Total Match Point,Alternate Total Match Point,Over 144.5,144.5,1.31,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,Alternate Total Match Point,Alternate Total Match Point,Under 145.5,145.5,3.2,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,Alternate Total Match Point,Alternate Total Match Point,Under 150.5,150.5,2.6,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,Alternate Total Match Point,Alternate Total Match Point,Under 172.5,172.5,1.4,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,Alternate Total Match Point,Alternate Total Match Point,Under 173.5,173.5,1.4,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,Disposal Markets,Player Disposals Over/Under,Josh Daicos Under 24.5,24.5,1.95,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,First and Last To Score Markets,Team To Score First,Collingwood,0.0,2.0,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,First and Last To Score Markets,Team To Score First Goal,Adelaide,0.0,1.77,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,First goalscorer and team to win,First goalscorer and team to win,Darcy Fogarty & Adelaide,0.0,13.0,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,Game Lines,Total Points Over/Under,Over 160.5,160.5,1.9,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,Goalscorer Markets,Anytime Goalscorer,Hugh Bond,0.5,7.0,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,Goalscorer Markets,Anytime Goalscorer,Scott Pendlebury,0.5,5.0,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,Goalscorer Markets,First Goalscorer - 2nd Quarter,Daniel Mcstay,0.0,16.0,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,Goalscorer Markets,First Goalscorer - 2nd Quarter,Nick Daicos,0.0,16.0,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,Goalscorer Markets,First Goalscorer - 2nd Quarter,Sid Draper,0.0,26.0,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,Goalscorer Markets,First Goalscorer - 2nd Quarter,Zac Taylor,0.0,29.0,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,Goalscorer Markets,First Goalscorer - 3rd Quarter,Isaac Quaynor,0.0,41.0,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,Goalscorer Markets,First Goalscorer - 4th Quarter,Daniel Mcstay,0.0,15.0,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,Goalscorer Markets,First Goalscorer - 4th Quarter,Nick Daicos,0.0,18.0,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,Goalscorer Markets,First Goalscorer - 4th Quarter,Sid Draper,0.0,31.0,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,Goalscorer Markets,First Goalscorer - 4th Quarter,Zac Taylor,0.0,26.0,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,Goalscorer Markets,First Goalscorer - Away,Daniel Mcstay,0.0,9.0,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,Goalscorer Markets,First Goalscorer - Away,Nick Daicos,0.0,11.0,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,Goalscorer Markets,First Goalscorer - Home,Ben Keays,0.0,7.5,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,Goalscorer Markets,First Goalscorer - Home,Darcy Fogarty,0.0,5.75,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,Goalscorer Markets,First Goalscorer - Home,Wayne Milera,0.0,41.0,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,Goalscorer Markets,Last Goalscorer,Billy Dowling,0.0,29.0,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,Goalscorer Markets,Last Goalscorer,Jordan Dawson,0.0,18.0,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,Halftime / Full Time,Halftime / Full Time,Collingwood - Adelaide,0.0,6.0,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,Handicap Markets,Pick Your Own Line,Adelaide +0.5,0.5,1.57,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,Handicap Markets,Pick Your Own Line,Adelaide +12.5,12.5,1.29,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,Handicap Markets,Pick Your Own Line,Adelaide -18.5,-18.5,2.45,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,Handicap Markets,Pick Your Own Line,Adelaide -7.5,-7.5,1.83,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,Handicap Markets,Pick Your Own Line,Collingwood +11.5,11.5,1.77,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,Margins Markets,1st Half Margins 24.5,Adelaide 1-24,0.0,2.5,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,Margins Markets,1st Half Tri Bet 19.5,Either Team To Win By 19 Or Less Points,0.0,1.69,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,Margins Markets,Margins 39.5,Collingwood 40+,0.0,11.0,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,Margins Markets,Tri Bet 15.5,Adelaide To Win By 16 Or More Points,0.0,2.25,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,Match Markets,1st Half Result,Collingwood,0.0,2.2,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,Pick Your Own Mark,Pick Your Own Marks,Harry Perryman 10+,10.0,11.0,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,Pick Your Own Mark,Pick Your Own Marks,Lachie Schultz 6+,6.0,2.05,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,Race To 20 Points,Race To 20 Points,Collingwood,0.0,2.15,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,"Tackles, Marks and Clearances",Pick Your Own Tackles,Ben Keays 6+,6.0,2.85,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,"Tackles, Marks and Clearances",Pick Your Own Tackles,James Peatling 8+,8.0,6.5,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,"Tackles, Marks and Clearances",Pick Your Own Tackles,Nick Daicos 8+,8.0,9.0,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,"Tackles, Marks and Clearances",Pick Your Own Tackles,Scott Pendlebury 4+,4.0,1.4,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,Team Total Points Bands,Team Total Points Bands,Adelaide 60-69 Points,0.0,7.0,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,Team Total Points Bands,Team Total Points Bands,Collingwood 49 Or Less Points,49.5,9.0,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,Team Total Points Bands,Team Total Points Bands,Collingwood 50-59 Points,0.0,7.0,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,To Get X+ Disposals,To Get 10+ Disposals,Daniel Mcstay,10.0,1.42,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,To Get X+ Disposals,To Get 10+ Disposals,Sid Draper,10.0,1.59,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,To Get X+ Disposals,To Get 10+ Disposals,Zac Taylor,10.0,1.59,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,To Get X+ Disposals,To Get 15+ Disposals,Darcy Moore,15.0,3.8,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,To Get X+ Disposals,To Get 15+ Disposals,Josh Worrell,15.0,1.13,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,pointsbet,To Get X+ Disposals,To Get 20+ Disposals,Isaac Cumming,20.0,4.3,2025-08-30 06:28:16,live,2025,finals_w1,2025-09-04 17:40:00,7872,1
