alias_norm,canon_norm
engie stadium,engie stadium
example stadium,example stadium
adelaide oval,adelaide oval
optus stadium,optus stadium
the mcg,the mcg
melbourne cricket ground,the mcg
mcg,the mcg
sydney showground stadium,engie stadium
giants stadium,engie stadium
sydney showground,engie stadium
m c g,the mcg
the melbourne cricket ground,the mcg
mcg melbourne cricket ground,the mcg
the showground,engie stadium
showground,engie stadium
optus,optus stadium
perth stadium,optus stadium
perth optus stadium,optus stadium
burswood,optus stadium
ao,adelaide oval
the adelaide oval,adelaide oval
